宁夏回族自治区|12578010
马鞍山市|23424781
六安市|23424781
宣城市|23424781
宿州市|23424781
铜陵市|23424781
芜湖市|23424781
亳州市|23424781
蚌埠市|23424781
安庆市|23424781
滁州市|23424781
巢湖市|23424781
阜阳市|23424781
池州市|26198215
合肥市|23424781
黄山市|23424781
淮南市|23424781
淮北市|23424781
龙岩市|23424781
三明市|23424781
泉州市|23424781
厦门市|23424781
漳州市|23424781
莆田市|23424781
南平市|23424781
宁德市|26198343
福州市|23424781
陇南市|26198124
兰州市|23424781
天水市|23424781
武威市|23424781
庆阳市|26198138
张掖市|23424781
平凉市|23424781
白银市|23424781
定西市|26198127
甘南藏族自治州|26198125
嘉峪关市|23424781
金昌市|23424781
酒泉市|26198132
茂名市|23424781
梅州市|23424781
清远市|23424781
汕尾市|23424781
汕头市|23424781
深圳市|23424781
韶关市|23424781
阳江市|23424781
云浮市|26198349
湛江市|23424781
肇庆市|23424781
中山市|23424781
珠海市|23424781
潮州市|23424781
东莞市|23424781
佛山市|23424781
广州市|23424781
河源市|23424781
惠州市|23424781
揭阳市|23424781
江门市|23424781
柳州市|23424781
崇左市|29281936
钦州市|23424781
梧州市|23424781
玉林市|23424781
南宁市|23424781
百色市|23424781
北海市|23424781
防城港市|26198180
桂林市|23424781
河池|23424781
贺州市|26198352
六盘水市|23424781
黔西南布依族苗族自治州|26198354
黔南布依族苗族自治州|26198357
黔东南苗族侗族自治州|26198359
铜仁市|26198358
安顺市|23424781
毕节市|26198221
贵阳市|23424781
遵义市|23424781
三亚市|23424781
海口市|23424781
廊坊市|23424781
秦皇岛市|26198365
邢台市|23424781
石家庄市|23424781
唐山市|23424781
张家口市|23424781
保定市|23424781
沧州市|23424781
承德市|23424781
衡水市|23424781
邯郸市|26198254
洛阳市|23424781
新乡市|26198369
许昌市|23424781
信阳市|26198100
商丘市|23424781
三门峡市|23424781
濮阳市|26198106
漯河市|23424781
南阳市|23424781
平顶山市|23424781
周口市|23424781
郑州市|23424781
安阳市|23424868
鹤壁市|23424781
焦作市|23424781
开封市|23424781
驻马店市|23424781
绥化市|26198258
双鸭山市|23424781
伊春市|23424781
齐齐哈尔市|23424781
牡丹江市|23424781
七台河市|23424781
大庆市|23424781
大兴安岭市|26198057
哈尔滨市|23424781
黑河市|23424781
鹤岗市|23424781
佳木斯市|23424781
鸡西市|23424781
孝感市|23424781
随州市|23424781
十堰市|23424781
咸宁市|23424781
襄樊市|23424781
武汉市|23424781
宜昌市|23424781
鄂州市|23424781
恩施市|23424781
黄石市|23424781
黄冈市|26198267
荆门市|23424781
荆州市|23424781
娄底市|23424781
邵阳市|26198163
湘潭市|23424781
湘西土家族苗族自治州|26198164
岳阳市|26198212
永州市|26198161
张家界市|23424781
益阳市|26198208
株洲市|23424781
常德市|26198209
长沙市|23424781
郴州市|23424781
衡阳市|26198162
怀化市|26198211
辽源市|23424781
松原市|23424856
四平市|23424781
通化市|23424781
延边朝鲜族自治州|26198063
白山市|23424781
白城市|23424781
长春市|26198065
吉林市|23424781
连云港市|26198091
徐州市|23424781
苏州市|23424781
宿迁市|23424781
泰州市|23424781
无锡市|23424781
扬州市|23424781
盐城市|23424781
镇江市|23424781
南通市|23424781
南京市|26198099
常州市|23424781
淮安市|23424781
新余市|23424781
上饶市|23424781
宜春市|23424781
鹰潭市|23424781
南昌市|23424781
萍乡市|23424781
赣州市|23424781
抚州市|26198154
吉安市|23424781
九江市|23424781
景德镇市|23424781
辽阳市|26198227
沈阳市|23424781
铁岭市|26198076
营口市|26198071
盘锦市|26198229
鞍山市|23424781
本溪市|23424781
朝阳市|23424781
大连市|23424781
丹东市|23424781
抚顺市|26198075
阜新市|23424781
葫芦岛市|26198069
锦州市|23424781
兴安市|26198066
乌兰察布市|26198283
乌海市|26198045
锡林郭勒市|26198067
通辽市|23424781
巴彦淖尔市|26198055
包头市|23424781
阿拉善市|26198054
赤峰市|23424781
鄂尔多斯市|26198286
呼伦贝尔市|26198222
呼和浩特市|23424781
石嘴山市|23424781
吴忠|23424781
银川市|23424781
固原市|26198137
西宁市|23424781
玉树藏族自治州|26198287
果洛藏族自治州|26198234
海西蒙古族藏族自治州|26198232
海南藏族自治州|26198288
海北藏族自治州|26198290
海东市|26198291
临沂市|23424781
聊城市|23424781
莱芜市|23424781
青岛市|23424781
日照市|23424781
泰安市|23424781
潍坊市|23424781
威海市|23424781
烟台市|26198080
枣庄市|23424781
滨州市|23424781
德州市|23424781
东营市|23424781
菏泽市|23424781
济南市|23424781
济宁市|23424781
淄博市|23424781
吕梁市|26198112
临汾市|23424781
忻州市|23424781
朔州市|23424781
太原市|23424781
阳泉市|26198113
运城市|26198109
长治市|26198309
大同市|23424781
晋中市|26198308
晋城市|23424781
商洛市|26198115
咸阳市|23424781
铜川市|26198121
渭南市|23424781
西安市|23424781
延安市|23424781
榆林市|23424781
安康市|23424781
宝鸡市|26198118
汉中市|23424781
绵阳市|23424781
泸州市|23424781
乐山市|23424781
凉山彝族自治州|26198194
眉山市|26198198
遂宁市|23424781
雅安市|23424781
宜宾市|26198377
攀枝花市|23424781
南充市|23424781
内江市|23424781
巴中市|26198294
成都市|23424781
达州市|26198292
德阳市|23424781
甘孜藏族自治州|26198324
广元市|26198293
广安市|26198296
资阳市|26198205
自贡市|23424781
林芝市|26198303
拉萨市|23424781
日喀则市|26198320
山南|26198236
那曲|23424781
阿里|56617977
昌都|26198318
吐鲁番市|26198315
